candidate_id,title,venue_original,venue_resolved,venue_reconstructed,year,authors,doi,core_rank,edition_number,maturity_flag,indexed_in,candidate_role,quality_label,data_quality_flags
23_WAQAS_TARIQ_TOOR,Detection of Parkinson's Disease from Voice Signals Using Explainable Artificial Intelligence,3rd International Conference,3rd International Conference,False,2024.0,"Adeel Mukhtar, Waqas Tariq Toor, Saddique Khalid, Muhammad Shoaib, Akhtar",,Cannot Verify,3.0,False,,Co-Author,Low / Unranked,MISSING_DOI
23_WAQAS_TARIQ_TOOR,Tuberculosis detection in chest X-rays using hybrid deep learning models,3rd International Conference,3rd International Conference,False,2024.0,"Anees Ur Rehman, Waqas Tariq Toor, Toseeq Haider Bajwa, Umair Bajwa",,Cannot Verify,3.0,False,,Co-Author,Low / Unranked,MISSING_DOI
23_WAQAS_TARIQ_TOOR,Hybrid Deep Learning for Blood Cancer Detection: A CNN-GCN Approach for Enhanced Diagnostic Accuracy,International Conference on Em,International Conference on Electromyography and Signal Processing,True,2025.0,"Abdul Rehan, Waqas Tariq Toor, Adeel Mukhtar, Hunain Zaidi, Zain Ul Abidin",,Cannot Verify,,False,,Co-Author,Low / Unranked,MISSING_DOI
23_WAQAS_TARIQ_TOOR,IoT-Driven Battery Health Management and Tracking for Eco-friendly and Efficient Electric Transportation,International Conference on Em,International Conference on Electromyography and Signal Processing,True,2025.0,"Maania Jabbar, Waqas Tariq Toor, Farah Khalid, Muhammad Farhan, Arshad",,Cannot Verify,,False,,Co-Author,Low / Unranked,MISSING_DOI
24_AHMED_NAEEM,Blind Signal Analysis-Wireless Communication Signals: A L,Wireless Communication Signals,Wireless Communication Signals,False,2021.0,"Mehmet Ali Aygul, Ahmed Naeem, Huseyin Arslan",,Cannot Verify,,False,,Co-Author,Low / Unranked,MISSING_DOI
24_AHMED_NAEEM,Fall Detection using Accelerometer Calibration,15th International Conference on Em,"15th International Conference on Emerging Trends in Engineering, Science and Technology",True,2019.0,"Ahmed Naeem, S. Khan",,Cannot Verify,15.0,False,,First Author,Low / Unranked,MISSING_DOI
24_AHMED_NAEEM,Joint Radar and Communication based Blind Signal Separation using a New Non-Linear Function for Fast-ICA,2021 IEEE 94th Vehicular Technology,2021 IEEE 94th Vehicular Technology,False,2021.0,"Ahmed Naeem, H. Arslan",,A,94.0,False,IEEE Xplore,First Author,High (A),MISSING_DOI
24_AHMED_NAEEM,A Novel Frame Design for Non-Terrestrial Network Based Integrated Sensing and Communication,IEEE 33rd Annual International Symp,IEEE 33rd Annual International Symp,False,2022.0,"Ahmed Naeem, S. Rafique and H. Arslan",,A,33.0,False,IEEE Xplore,First Author,High (A),MISSING_DOI
25_MUHAMMAD_ADEEL_ALTAF,A Multimodal Framework for MODT Using Enhanced Correlation-Based Affinity Metrics in Autonomous Driving,The 7th International Conference on Artificial Intelligence in Information and Communication,The 7th International Conference on Artificial Intelligence in Information and Communication,False,2025.0,"MUHAMMAD ADEEL ALTAF, Min Young Kim",,Cannot Verify,7.0,False,,First Author,Low / Unranked,MISSING_DOI
25_MUHAMMAD_ADEEL_ALTAF,Multi-Modal Integration of 2D and 3D Attributes for Multi-Vehicles Tracking,15th International Conference on In,15th International Conference on Information and Systems for Safety of Society (SafeSoc),True,2024.0,"MUHAMMAD ADEEL ALTAF, Min Young Kim",,Cannot Verify,15.0,False,,First Author,Low / Unranked,MISSING_DOI
26_AAMINA_AKBAR,Joint Backhaul Pairing and Resource Allocation of Moving Small Cells Using NOMA,International Conference,International Conference,False,2023.0,"Myra Khalid, Aamina Akbar, Hassaan Khaliq, Qureshi, Sobia Jangsher",,,,False,,Co-Author,Low / Unranked,MISSING_VENUE | MISSING_DOI
28_IDRIS_KHAN,Effect of Solar Concentrators on the Efficiency of Solar Panels,International Conference on Co 2018,International Conference on Co 2018,False,2018.0,"Manoj Kumar Panjwani, Li Meicheng, Danish Khan, Idris Khan, Mohan Menghwar",,Cannot Verify,,False,,Co-Author,Low / Unranked,MISSING_DOI
28_IDRIS_KHAN,A study of product distribution under fast pyrolysis of wheat stalk while producing Bio-oil,International Conference on Computi 2018,International Conference on Computi 2018,False,2018.0,"Tahir Iqbal, Qiang Lu, Chang-qing Dong, Min-xing Zhou, Zulqarnain Arain, Zulfiqar Ali, Idris Khan, Zafar Hussain, Adnan Abbas",,Cannot Verify,,False,,Co-Author,Low / Unranked,MISSING_DOI
28_IDRIS_KHAN,Photovoltaic Power Forecasting based on Elman Neural Network Software Engineering Method,8th IEEE International Conference,8th IEEE International Conference,False,2017.0,"Idris Khan, Honglu Zhu, Jianxi Yao, Danish Khan",,A,8.0,False,IEEE Xplore,First Author,High (A),MISSING_DOI
28_IDRIS_KHAN,Photovoltaic Power prediction by Cascade forward artificial neural network,7th international conference on,7th International Conference on Artificial Intelligence and Applications,True,2017.0,"Idris Khan, Honglu Zhu, Danish Khan, Manoj Kumar Panjwani",,Cannot Verify,7.0,False,,First Author,Low / Unranked,MISSING_DOI
28_IDRIS_KHAN,Preparation and breakdown properties of mineral oil based alumina nanofluids,International conference on Em,International Conference on Emerging Nanotechnology,True,2015.0,"Muhammad Rafiq, Chengrong Li, Idris Khan, Hu Zhifeng, Yuzhen Lv, Kai Yi",,Cannot Verify,,False,,Co-Author,Low / Unranked,MISSING_DOI
29_MUHAMMAD_SARMAD_TARIQ,Optimal power flow and contingency analysis incorporating distributed facts and dynamic thermal line rating,North American Power Symposium,North American Power Symposium,False,2021.0,Muhammad Sarmad Tariq,,Cannot Verify,,False,,First Author,Low / Unranked,MISSING_DOI
29_MUHAMMAD_SARMAD_TARIQ,A Unified Power Flow Controller (UPFC) Based Optimal Power Flow Methodology for Balancing Electric Grid Line-Loading,IEEE Industry Applications Society,IEEE Industry Applications Society,False,2024.0,Muhammad Sarmad Tariq,,Cannot Verify,,False,IEEE Xplore,First Author,Low / Unranked (Indexed),MISSING_DOI
29_MUHAMMAD_SARMAD_TARIQ,Optimal Location Methodology for Multiple UPFCs to Reduce Transmission Congestion,SoutheastCon,SoutheastCon,False,2025.0,Muhammad Sarmad Tariq,,B,,False,,First Author,Moderate (B),MISSING_DOI
29_MUHAMMAD_SARMAD_TARIQ,Optimal Power Flow Methodology with UPFC and Synchronous generator for Optimal Power Flow Management,SoutheastCon,SoutheastCon,False,2025.0,Muhammad Sarmad Tariq,,B,,False,,First Author,Moderate (B),MISSING_DOI
30_FAHD_SIKANDAR_KHAN,Electrochemical reduction of CO2 by Arc Plasma Deposition of copper and gold composite nano particles,Nanoscience Meet,Nanoscience Meet,False,2018.0,"Khan, F.S, Sugiyama, M, Fujii, K, Nakano, Y",,Cannot Verify,,False,,Unknown,Low / Unranked,MISSING_DOI | AUTHORSHIP_UNDETECTABLE
30_FAHD_SIKANDAR_KHAN,Solar Energy Conversion via reduction of CO2 using Concentrator Photovoltaics,22nd International conference on ph,22nd International Conference on Photovoltaic Science and Engineering,True,2018.0,"Khan, F.S, Yamashita, D, Sugiyama, M, Fujii, K, Nakano, Y, Bocarsly, Y",,Cannot Verify,22.0,False,,Unknown,Low / Unranked,MISSING_DOI | AUTHORSHIP_UNDETECTABLE
33_QAMAR_ABBAS,NOMA enhanced backscatter communication for green IoT networks,16th International Symposium on,16th International Symposium on Wireless Systems and Networks,True,2019.0,"Shah Zeb, Qamar Abbas, Syed Ali Hassan, Aamir Mahmood, Rafia Mumtaz, Syed Ali Raza Zaidi, Mikael Gidlund",,Cannot Verify,16.0,False,,Co-Author,Low / Unranked,MISSING_DOI
